Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,nbh_name
1303052000,580000,258.24,2246,Conventional,3990,2,5,3,0,2,0,R2,Y,CV,H,9,1940,Dorchester
2008891000,580000,253.5,2288,Two_Fam_Stack,3732,2,5,2,0,2,0,R2,N,TF,G,11,1910,West Roxbury
1300830000,580000,199.72,2904,Decker,4202,3,8,3,0,3,0,R3,N,DK,F,14,1905,Roxbury
1904243000,580000,173.97,2977,Conventional,5098,2,6,3,0,2,0,R2,Y,CV,G,12,1900,Jamaica Plain
1501706000,580000,158.21,3666,Conventional,5474,3,6,3,0,3,2,R3,N,CV,M,14,1875,Dorchester
103601000,580000,142.47,3882,Decker,5563,3,6,3,0,3,0,R3,N,DK,F,15,1910,East Boston
601539000,578000,325.82,1774,Semi_Det,2871,2,4,2,0,1,0,R1,N,SD,G,8,1900,South Boston
700506000,578000,325.45,1776,Semi_Det,2320,3,5,3,0,3,0,R3,N,SD,F,11,1905,South Boston
1202737000,577400,161.47,3576,Conventional,5918,2.5,6,3,0,3,0,R3,N,CV,G,12,1900,Roxbury
1812562000,577000,201.4,1771,Colonial,3281,1.5,3,2,0,2,0,R2,N,CL,G,8,1930,Hyde Park
602486000,576000,384.51,1498,Semi_Det,3300,2,3,1,1,1,0,R1,Y,SD,F,6,1900,South Boston
901896000,575000,465.96,1130,Row_End,1362,2,3,2,0,1,0,R1,Y,RE,F,6,1890,Roxbury
200387000,575000,352.33,1570,Semi_Det,2624,2,5,1,1,1,1,R1,Y,SD,G,8,1850,Charlestown
2010722000,575000,348.91,1648,Cape,3376,1.5,5,2,0,1,2,R1,Y,CP,G,10,1951,West Roxbury
2000793000,575000,328.2,1752,Colonial,2954,2,3,1,1,1,1,R1,Y,CL,G,7,1930,Roslindale
1100066000,575000,288.65,1992,Conventional,2880,3,3,2,0,2,0,R2,N,CV,G,9,1899,Roxbury
2005464000,575000,267.44,2150,Colonial,4200,2,4,1,1,1,1,R1,Y,CL,H,8,1876,Roslindale
2009206005,575000,267.44,2150,Conventional,3755,2,4,2,0,2,0,R2,Y,CV,G,10,1948,West Roxbury
104817000,575000,241.6,2380,Conventional,4073,2,5,3,0,3,0,R3,N,CV,F,12,1900,East Boston
1602149000,575000,234.03,2493,Colonial,4129,2,3,1,0,1,0,R1,Y,CL,G,9,1900,Dorchester
1603059000,575000,220.31,2610,Colonial,4974,2,3,1,1,1,1,R1,Y,CL,G,11,1900,Dorchester
104300000,575000,219.3,2622,Conventional,4566,2,3,3,0,3,2,R3,Y,CV,H,10,1900,East Boston
102769000,575000,177.3,3243,Semi_Det,4324,3,5,3,0,3,0,R3,N,SD,F,14,1900,East Boston
1202299000,575000,167.1,3441,Conventional,5326,2.5,7,2,0,2,0,R2,N,CV,H,15,1935,Roxbury
1501710000,575000,161.34,3591,Decker,5373,3,8,3,0,3,0,R3,N,DK,F,17,1905,Dorchester
1300769000,575000,154.57,3720,Decker,5290,3,9,3,0,3,0,R3,N,DK,F,18,1905,Dorchester
1400764000,575000,145.9,3550,Conventional,6150,2,11,3,0,3,0,R3,N,CV,H,16,1935,Dorchester
700982000,574000,296.49,1936,Colonial,3700,2,4,1,1,1,0,R1,Y,CL,G,9,1880,South Boston
2006807000,573000,301.58,1900,Other,2890,2,4,2,0,2,0,R2,N,OH,H,10,1940,West Roxbury
1903030000,572500,316.65,1518,Colonial,2426,2,4,1,0,1,0,R1,N,CL,G,7,1914,Roslindale
1400591000,571000,140.95,4051,Conventional,6619,2.5,9,3,0,3,0,R3,N,CV,G,18,1900,Dorchester
200588010,570000,385.4,1479,Row_End,1972,3,2,1,1,1,0,R1,N,RE,F,7,1850,Charlestown
2002442000,570000,378.99,1504,Colonial,2448,2,3,1,1,1,1,R1,Y,CL,G,7,1930,West Roxbury
2004221000,570000,332.17,1716,Colonial,2846,2,3,1,1,1,1,R1,Y,CL,H,8,1920,West Roxbury
1603614000,570000,240.1,2374,Two_Fam_Stack,3897,2,4,2,0,2,0,R2,Y,TF,G,12,1935,Dorchester
1903779000,570000,232.94,2182,Conventional,3724,2,2,2,0,2,0,R2,Y,CV,G,8,1905,Roslindale
703857020,570000,139.19,4095,Semi_Det,6132,3,9,3,0,3,0,R3,N,SD,F,18,1900,Dorchester
1501906000,570000,137.18,4155,Decker,6238,3,9,3,0,3,0,R3,N,DK,F,18,1920,Dorchester
2006949000,569900,382.48,1490,Cape,3502,1,3,2,0,1,0,R1,Y,CP,G,7,1934,West Roxbury
2002060000,569500,423.74,1344,Colonial,2494,2,3,1,1,1,1,R1,Y,CL,G,6,1930,West Roxbury
2007617000,569000,391.33,1266,Other,2410,1,3,1,1,1,1,R1,Y,OH,G,7,1957,West Roxbury
102879000,569000,186.93,3020,Decker,4292,3,7,3,0,3,0,R3,Y,DK,M,14,1900,East Boston
803019001,567500,191.21,2719,Conventional,4540,2,6,2,0,2,0,R2,N,CV,G,8,1890,Roxbury
1603602000,567000,262.5,2160,Two_Fam_Stack,3628,2,4,2,0,2,0,R2,N,TF,G,10,1928,Dorchester
701153000,565920,330.18,1468,Semi_Det,2496,2,4,1,1,1,2,R1,Y,SD,G,8,1890,South Boston
1603514000,565000,351.37,1608,Colonial,2590,2,4,1,1,1,0,R1,Y,CL,L,8,1935,Dorchester
2000715000,565000,321.39,1758,Colonial,2774,2,3,1,1,1,1,R1,Y,CL,L,8,1930,Roslindale
2007308000,565000,317.59,1779,Colonial,3246,2,3,1,0,1,1,R1,Y,CL,G,6,1920,West Roxbury
102736000,565000,290.64,1944,Row_End,2880,2.5,4,3,0,3,0,R3,Y,RE,G,11,1880,East Boston
1601204000,565000,157.25,3593,Conventional,5652,2.5,8,3,0,3,0,R3,N,CV,G,13,1910,Dorchester
