Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,Latitude,Longitude
2007499000,805000,292.41,3182,Colonial,4944,2,4,2,1,1,1,R1,N,CL,G,7,0,42.294622,-71.1706
2001686000,803000,305.32,2756,Colonial,4858,2,7,3,0,1,2,R1,Y,CL,G,12,1895,42.28422,-71.15355
1902825005,801000,430.65,1860,Conventional,3232,2,3,2,1,1,1,R1,Y,CV,G,10,1959,42.29978,-71.11623
2005075020,800000,276.34,2895,Colonial,4660,2.5,3,3,1,1,1,R1,Y,CL,G,8,2005,42.292057,-71.133261
2008409000,800000,271.55,2946,Colonial,5429,2,4,2,1,1,1,R1,Y,CL,G,9,2007,42.283786,-71.166291
700515000,800000,241.47,2678,Conventional,3644,3,4,4,0,2,0,R2,N,CV,F,8,2002,42.333628,-71.052837
1103635000,799000,346.79,2304,Colonial,4190,2,4,2,1,1,0,R1,Y,CL,G,9,2004,42.29822,-71.11142
1103155000,795000,361.2,2201,Conventional,3876,2,5,3,0,2,0,R2,N,CV,G,12,1900,42.30591,-71.11243
1301931000,795000,184.16,4317,Decker,6264,3,12,3,0,3,0,R3,N,DK,F,18,1905,42.3191,-71.0588
1301945000,792000,209.69,3765,Decker,5833,3,6,3,0,3,0,R3,N,DK,F,15,1905,42.318324,-71.058613
105479000,790000,270.09,2376,Row_Middle,3168,3,8,3,0,3,0,R3,N,RM,F,15,1910,42.37262,-71.03949
2005176000,789900,233.49,3383,Colonial,4635,2,4,3,1,1,0,R1,Y,CL,G,9,2008,42.294534,-71.130883
200891000,785000,644.5,1131,Cape,1816,1.5,2,2,0,1,1,R1,Y,CP,G,5,1920,42.37954,-71.06606
603977000,785000,384.8,2040,Row_Middle,3034,3,3,3,1,3,0,R3,N,RM,M,11,1910,42.33467,-71.03174
1301821000,785000,230.54,3405,Decker,5401,3,6,3,0,3,0,R3,N,DK,F,15,1905,42.3157,-71.06087
1101412000,784500,389.14,2016,Colonial,3326,2,4,1,1,1,0,R1,Y,CL,M,8,1900,42.31741,-71.10186
702704000,780000,439.19,1776,Semi_Det,2672,2,2,2,0,2,0,R2,Y,SD,F,9,1910,42.33213,-71.03098
1901508000,780000,353.58,2206,Two_Fam_Stack,3481,2,5,2,0,2,0,R2,N,TF,H,11,1940,42.30825,-71.11706
1302844000,780000,224.72,3471,Decker,5348,3,9,3,0,3,0,R3,N,DK,F,15,1905,42.31414,-71.05602
103968000,780000,205.53,3795,Decker,5543,3,9,3,0,3,0,R3,N,DK,F,17,1900,42.37026,-71.03559
1200626000,780000,154.3,5055,Semi_Det,6726,3,9,3,0,3,0,R3,N,SD,F,18,1900,42.32324,-71.08599
1902418000,775000,431.75,1795,Colonial,3037,2,4,1,0,1,1,R1,Y,CL,G,6,1924,42.30979,-71.12286
1701067000,775000,295.46,2983,Victorian,4319,2.5,5,2,1,1,1,R1,Y,VT,G,9,1901,42.29646,-71.06619
1902349006,772500,431.56,1790,Other,3910,1,3,2,0,1,2,R1,N,OH,H,6,1957,42.30819,-71.12686
903604000,772000,278.5,2772,Conventional,3831,3,6,3,0,2,0,R2,N,CV,G,11,2006,42.328315,-71.090694
104079000,769000,208.74,3684,Semi_Det,5421,3,6,3,0,3,0,R3,N,SD,F,17,1908,42.36926,-71.03335
2008880000,765000,284.6,2688,Colonial,4101,2.5,5,1,1,1,1,R1,Y,CL,G,9,1910,42.27913,-71.16014
1302920000,764000,203.9,3747,Conventional,5980,2.5,6,2,1,2,0,R2,Y,CV,G,13,1905,42.31582,-71.05476
1002737000,763980,355.34,2150,Conventional,3761,2,6,3,0,3,0,R3,N,CV,G,15,1900,42.322158,-71.105685
1302842000,762000,219.53,3471,Decker,5393,3,6,3,0,3,0,R3,Y,DK,F,15,1910,42.31419,-71.05628
201626000,760000,514.21,1140,Row_Middle,1915,2,3,1,1,1,0,R1,Y,RM,G,5,1865,42.381005,-71.06383
1904466000,760000,470.88,1614,Colonial,2618,2,2,2,0,1,1,R1,Y,CL,G,8,1850,42.28906,-71.11433
1603433000,760000,201.16,3751,Victorian,6036,2.5,5,2,1,1,5,R1,N,VT,G,11,1884,42.28371,-71.06052
102236000,760000,171.64,4428,Decker,6700,3,7,3,0,3,0,R3,Y,DK,F,17,1912,42.38988,-70.999
604082000,753000,511.2,1407,Row_Middle,2200,2,3,1,0,1,1,R1,Y,RM,M,7,1890,42.33249,-71.03309
200400000,751000,630.56,1020,Row_End,1692,2,3,2,1,1,1,R1,Y,RE,G,5,1880,42.37736,-71.06238
1103729000,750000,411.18,1824,Colonial,2932,2,3,1,1,1,1,R1,Y,CL,G,8,1930,42.29924,-71.11113
702298000,750000,395.57,1896,Row_Middle,2640,3,5,2,0,2,1,R1,N,RM,M,10,1899,42.33294,-71.03717
1302005000,750000,211.33,3549,Decker,5249,3,7,3,0,3,0,R3,N,DK,F,16,1900,42.31725,-71.05835
1903750000,750000,161.74,4637,Conventional,6804,3,6,3,0,3,0,R3,Y,CV,L,12,1901,42.28419,-71.12188
601581000,745000,288.76,2580,Conventional,3948,3,6,2,0,2,0,R2,N,CV,F,11,1890,42.3387,-71.04881
201003000,742000,515.28,1440,Row_End,1980,3,3,1,0,1,0,R1,N,RE,F,6,1880,42.37999,-71.06829
200123000,740000,479.9,1542,Semi_Det,2820,2,4,2,0,2,0,R2,Y,SD,G,8,1885,42.38033,-71.0615
1900006000,740000,450.67,1642,Colonial,2915,2,3,3,0,1,0,R1,Y,CL,G,6,1905,42.31958,-71.10422
1302594000,740000,398.28,1858,Colonial,3387,2,4,2,0,1,1,R1,Y,CL,G,8,1920,42.31153,-71.0476
701220000,740000,354.41,2088,Conventional,2712,3,4,2,0,2,0,R2,Y,CV,M,10,1890,42.33256,-71.049178
2004243000,740000,351.21,2107,Cape,3286,1.5,3,2,1,1,1,R1,Y,CP,G,7,1935,42.28952,-71.1441
1701069000,740000,285.16,2340,Victorian,4050,2,5,1,1,1,1,R1,Y,VT,G,10,1895,42.2962,-71.06624
903226000,740000,265.23,2790,Row_Middle,3720,3,6,3,0,3,0,R3,N,RM,F,15,1890,42.32889,-71.08772
1903221000,740000,236.27,3132,Decker,5082,3,9,3,3,3,0,R3,Y,DK,F,15,1920,42.28906,-71.12324
105691000,737000,285.33,2583,Semi_Det,3732,3,8,3,0,3,0,R3,N,SD,F,17,1900,42.37048,-71.0384
2007757020,736000,409.12,1799,Colonial,2828,2,3,3,1,1,2,R1,N,CL,G,8,1997,42.28333,-71.1604
1103428000,735000,317.08,2318,Two_Fam_Stack,3729,2,5,2,0,2,0,R2,N,TF,H,10,1910,42.30494,-71.11819
200932000,732500,615.55,1191,Row_End,1326,2,2,2,1,1,0,R1,N,RE,F,6,1870,42.3788,-71.06645
2005403000,730000,282.07,2588,Conventional,4440,2,6,3,0,2,0,R2,Y,CV,G,12,1910,42.28967,-71.13089
1101338000,730000,234.95,3107,Conventional,4736,2.5,5,3,0,3,0,R3,N,CV,G,12,1885,42.31409,-71.10083
1503200000,730000,211.04,3459,Decker,4969,3,9,3,0,3,0,R3,N,DK,F,15,1905,42.31117,-71.0559
2002546000,725000,335.96,2158,Colonial,3469,2,4,2,1,1,1,R1,Y,CL,G,9,1937,42.27619,-71.14953
903730000,725000,245.6,2952,Semi_Det,3936,3,9,3,0,3,0,R3,N,SD,F,18,1890,42.326811,-71.090105
1603733000,725000,204.98,3537,Decker,5276,3,6,3,0,3,0,R3,N,DK,F,15,1926,42.28768,-71.05032
106123000,725000,199.89,3183,Semi_Det,4604,3,8,3,0,3,0,R3,Y,SD,F,17,1900,42.375091,-71.03594
1302324000,725000,199.78,3619,Colonial,6365,2,4,2,0,1,0,R1,Y,CL,G,13,1890,42.30976,-71.04653
2004207000,722500,380.06,1901,Colonial,3476,2,4,1,1,1,0,R1,N,CL,G,8,1920,42.29322,-71.14826
1900059000,720000,309.94,2323,Conventional,3865,2,5,3,0,3,0,R3,N,CV,G,12,1900,42.3173,-71.10642
903676000,720000,214.16,3362,Semi_Det,4370,3,6,3,0,3,0,R3,Y,SD,M,13,1900,42.3276,-71.09126
1303079000,720000,202.53,3555,Decker,5303,3,7,3,0,3,0,R3,Y,DK,F,15,1905,42.31849,-71.05481
1603346000,715000,186.29,3838,Two_Fam_Stack,6528,2,6,4,0,2,0,R2,Y,TF,H,13,1928,42.287079,-71.058252
2002177000,712200,269.57,2642,Colonial,4521,2,4,1,1,1,1,R1,Y,CL,G,10,1880,42.28221,-71.15285
700650000,710000,342,2076,Semi_Det,3038,3,4,3,0,2,0,R2,N,SD,F,9,1888,42.32984,-71.05378
1904745000,707000,258.78,2732,Conventional,4321,2.5,5,2,0,2,0,R2,N,CV,G,11,1905,42.29796,-71.11327
1100736000,706000,193.74,3644,Decker,5138,3,6,3,0,3,0,R3,Y,DK,G,15,1900,42.3267,-71.09656
603214000,705000,406.11,1736,Semi_Det,3100,2,5,2,0,2,0,R2,Y,SD,F,9,1890,42.335906,-71.039133
702592000,705000,389.07,1812,Semi_Det,2509,3,4,1,1,1,0,R1,N,SD,M,7,1905,42.33222,-71.03259
2005173000,705000,339.92,2074,Colonial,3438,2,3,2,1,1,1,R1,Y,CL,L,7,1935,42.29465,-71.13124
1302015000,702000,209.68,3348,Decker,5058,3,6,3,0,3,0,R3,Y,DK,F,15,1905,42.31702,-71.05707
200686000,700000,585.28,1311,Colonial,1617,1.5,2,1,1,1,1,R1,Y,CL,G,5,1845,42.37958,-71.06462
2003594001,700000,420.42,1665,Other,4390,1,2,1,1,1,1,R1,N,OH,G,8,1950,42.30058,-71.12958
1900148000,700000,344.83,2030,Colonial,3375,2,3,2,1,1,1,R1,Y,CL,G,7,1910,42.32087,-71.10787
1101431000,700000,300.82,2327,Semi_Det,4218,2,4,2,0,1,1,R1,N,SD,H,9,1885,42.31519,-71.10051
2006512001,700000,289.5,2418,Colonial,3767,2,5,1,0,1,1,R1,N,CL,G,8,1860,42.28709,-71.15667
903232000,700000,268.51,2475,Row_Middle,3362,3,9,3,0,3,0,R3,N,RM,F,15,1900,42.3291,-71.08759
102073000,700000,181.54,2732,Conventional,4477,2,6,3,0,3,0,R3,N,CV,M,15,1909,42.38962,-71.008
700956000,696500,437.5,1704,Row_End,2252,3,4,2,1,1,1,R1,N,RE,F,6,1890,42.33569,-71.04862
1303154000,690050,414.69,1664,Colonial,2509,2,3,1,0,1,0,R1,N,CL,G,7,1900,42.31715,-71.05365
2101852000,690000,473.25,1458,Colonial,2515,2,3,2,0,1,0,R1,Y,CL,G,6,1920,42.34561,-71.14842
1303228000,690000,208.33,3312,Decker,4716,3,6,3,0,3,0,R3,N,DK,F,14,1905,42.31905,-71.05615
1200927000,690000,121.31,5598,Decker,7889,3,9,3,0,3,0,R3,N,DK,G,17,1905,42.3164,-71.07884
603385000,685000,677.55,1011,Colonial,1524,2,2,2,0,1,0,R1,Y,CL,G,6,1890,42.33776,-71.03763
200951000,685000,590.52,1160,Row_Middle,1740,2,2,1,0,1,0,R1,N,RM,F,6,1860,42.37911,-71.06623
700535000,685000,402,1716,Conventional,2448,3,5,2,0,2,0,R2,N,CV,G,9,1900,42.33391,-71.0526
2006651001,685000,322.5,2124,Colonial,4158,2,4,1,1,1,0,R1,Y,CL,G,8,1880,42.28852,-71.15848
2003499000,685000,288.79,1998,Colonial,3204,2,4,1,1,1,2,R1,Y,CL,G,8,1925,42.27621,-71.15209
1804491000,685000,238.1,2877,Colonial,4503,2,5,2,0,1,0,R1,Y,CL,G,9,1900,42.28469,-71.1289
1100857000,685000,228.79,2994,Semi_Det,3992,3,8,3,0,3,0,R3,N,SD,F,14,1920,42.324872,-71.097219
1600342000,685000,197.35,3471,Decker,5195,3,6,3,0,3,0,R3,Y,DK,F,15,1905,42.29476,-71.05157
2005236000,685000,177.83,3852,Conventional,6044,2.5,5,3,0,3,0,R3,Y,CV,G,17,1884,42.28808,-71.129991
903191000,685000,164.74,4158,Conventional,6922,2.5,6,4,0,3,0,R3,N,CV,G,12,1899,42.328257,-71.0881
1601882000,684500,240.68,2908,Victorian,4427,2.5,4,2,1,2,1,R1,Y,VT,H,10,1910,42.29264,-71.05707
2004422000,682000,380.79,1791,Colonial,3116,2,3,1,1,1,1,R1,Y,CL,G,7,1938,42.2922,-71.1418
200519000,680000,604.44,1080,Semi_Det,1510,3,2,1,1,1,0,R1,Y,SD,M,6,1865,42.37729,-71.06609
1900005000,680000,259.84,2617,Conventional,4325,2,6,2,0,2,0,R2,Y,CV,G,12,1905,42.31951,-71.10409
2002321000,680000,259.25,2443,Colonial,4616,2,4,1,1,1,1,R1,Y,CL,G,9,1900,42.28105,-71.15448
2001732000,680000,231.45,2938,Two_Fam_Stack,4800,2,6,2,0,2,0,R2,N,TF,H,14,1914,42.2854,-71.15068
1904871000,680000,216.98,3134,Conventional,5316,2.5,5,2,0,2,0,R2,N,CV,G,12,1915,42.29335,-71.11685
106866000,680000,209.3,3364,Decker,3872,3,6,3,0,3,0,R3,N,DK,F,15,1900,42.37657,-71.03075
903743000,680000,180.08,3776,Conventional,5342,2.5,6,3,0,2,0,R2,Y,CV,G,11,1900,42.32598,-71.0893
101367001,680000,170.94,3810,Conventional,3922,2,6,3,0,3,0,R3,N,CV,G,15,1960,42.38582,-71.00136
1002040000,675100,289.37,2333,Conventional,4204,2,4,2,0,2,0,R2,N,CV,G,10,1887,42.32324,-71.10687
602895000,675000,367.65,1836,Conventional,2744,3,5,1,1,1,0,R1,Y,CV,F,7,1890,42.33765,-71.04482
1002215000,675000,280.32,2408,Two_Fam_Stack,4002,2,6,2,0,2,0,R2,Y,TF,G,8,1915,42.32226,-71.10132
1900228000,675000,265.23,2545,Semi_Det,3918,2.5,4,2,0,2,0,R2,N,SD,G,12,1920,42.31918,-71.10625
1904844000,675000,219.3,3078,Decker,4590,3,6,3,0,3,0,R3,N,DK,F,15,1915,42.29307,-71.11738
104800000,675000,201.61,3348,Semi_Det,4555,3,5,3,0,3,0,R3,N,SD,F,8,1910,42.366819,-71.035727
1301465000,675000,172.55,3912,Decker,5882,3,6,3,0,3,0,R3,N,DK,F,18,1905,42.31339,-71.06118
1704700000,670000,322.12,2080,Victorian,3974,2,5,2,1,1,1,R1,Y,VT,G,12,1885,42.28611,-71.06797
2002872010,670000,307.34,2180,Colonial,3038,2,4,2,2,1,1,R1,Y,CL,G,8,1994,42.27187,-71.15033
100112000,670000,291.94,2295,Row_End,3482,3,6,3,0,3,0,R3,N,RE,F,14,1905,42.380145,-71.02859
1302851000,670000,189.43,3537,Decker,5418,3,9,3,0,3,0,R3,N,DK,F,15,1906,42.3147,-71.05636
2006030000,668000,231.94,2422,Two_Fam_Stack,4128,2,4,2,0,2,0,R2,N,TF,H,10,1915,42.2912,-71.15324
2001905000,667500,400.9,1665,Colonial,3073,2,4,1,1,1,1,R1,Y,CL,G,7,1954,42.27925,-71.14576
1903758000,665000,296.08,2030,Colonial,3510,2,4,1,1,1,0,R1,Y,CL,H,8,1890,42.28336,-71.12165
2008399000,665000,286.76,2319,Colonial,4753,2,4,2,1,1,0,R1,Y,CL,G,9,1880,42.28193,-71.16336
2000977000,665000,271.65,2448,Two_Fam_Stack,4038,2,5,2,0,2,0,R2,N,TF,H,11,1925,42.28092,-71.13976
2001635000,665000,233.99,2842,Conventional,4916,2,5,2,0,2,0,R2,N,CV,G,12,1920,42.28547,-71.15159
100174000,665000,227.35,2925,Decker,4341,3,8,3,0,3,0,R3,N,DK,F,14,1900,42.38097,-71.02836
2001526000,665000,218.25,2738,Victorian,4862,2,6,1,1,1,3,R1,N,VT,G,12,1900,42.28388,-71.14338
1101306000,664875,239.85,2772,Two_Fam_Stack,4111,2,4,2,0,2,0,R2,N,TF,M,10,1935,42.31527,-71.09993
2007637000,663600,314.8,0,Colonial,0,1,0,0,0,0,0,RL,N,CL,U,0,0,42.291293,-71.168539
2009147000,662900,340.3,1948,Colonial,3126,2,3,2,2,1,1,R1,Y,CL,G,7,2001,42.2811,-71.16978
1001921000,661800,275.98,2398,Conventional,4026,2,5,3,0,2,0,R2,N,CV,G,10,1915,42.32426,-71.10589
2001863000,660000,366.46,1801,Colonial,3120,2,3,1,1,1,1,R1,Y,CL,G,7,1935,42.27955,-71.14413
1700866000,660000,292.04,2283,Colonial,3742,2.5,5,2,1,1,0,R1,Y,CL,G,9,1890,42.29454,-71.06483
1804627000,660000,260.05,2538,Two_Fam_Stack,4199,2,5,2,0,2,0,R2,Y,TF,H,11,1880,42.281894,-71.128302
1601817000,660000,188.3,3505,Conventional,5500,2.5,6,3,0,3,0,R3,Y,CV,H,15,1930,42.2915,-71.05862
802583000,660000,177.99,3708,Row_End,4958,3,8,3,0,3,0,R3,N,RE,F,14,1890,42.32559,-71.07794
202510000,658000,408.95,1532,Row_End,2272,2.5,5,2,1,1,0,R1,N,RE,G,7,1875,42.379002,-71.069679
2010491000,657000,357.84,1772,Colonial,3216,2,3,2,1,1,1,R1,Y,CL,H,6,1993,42.27179,-71.16673
2007271000,657000,270.7,2427,Two_Fam_Stack,3927,2,4,2,0,2,2,R2,N,TF,H,11,1925,42.29264,-71.1553
1804998000,655000,352.91,1856,Colonial,3011,2,3,1,0,1,0,R1,N,CL,G,7,1904,42.28123,-71.13002
2000887000,652000,357.46,1824,Colonial,2802,2,3,2,2,1,1,R1,Y,CL,G,8,2011,42.279734,-71.138587
2000949000,651000,291.41,1862,Colonial,2905,2,4,1,1,1,2,R1,Y,CL,G,7,1901,42.28172,-71.14199
701663000,650000,550.85,1180,Semi_Det,1605,2,2,2,1,1,0,R1,N,SD,F,5,1900,42.33288,-71.04238
2008351000,650000,345.01,1884,Victorian,3187,2,4,1,1,1,1,R1,Y,VT,H,7,1900,42.28042,-71.16239
701263000,650000,331.29,1962,Conventional,2858,3,6,3,1,2,0,R2,Y,CV,F,12,1880,42.33209,-71.04837
1302737000,650000,328.12,1981,Conventional,3212,2,4,2,0,2,0,R2,Y,CV,G,10,1910,42.31249,-71.05435
104310000,650000,294.92,2204,Two_Fam_Stack,3586,2,2,2,0,2,1,R2,Y,TF,F,5,1900,42.38134,-71.01293
2006882000,650000,292.79,2220,Colonial,3602,2,4,1,1,1,1,R1,N,CL,G,10,1930,42.29082,-71.16632
1603645000,650000,266.39,2440,Two_Fam_Stack,4022,2,6,2,0,2,0,R2,N,TF,H,12,1925,42.284738,-71.052923
101205000,650000,240.38,2704,Conventional,4873,2,6,3,0,2,1,R2,N,CV,H,10,1900,42.38454,-71.00449
1302114000,650000,237.66,2746,Colonial,4454,2.5,6,2,2,1,2,R1,Y,CL,H,11,1895,42.31423,-71.05792
1502567000,650000,230.5,3478,Conventional,4360,3,8,3,2,2,0,R2,N,CV,F,16,2004,42.310491,-71.058474
802926000,650000,230.41,2821,Conventional,4632,2.5,6,3,0,3,0,R3,N,CV,G,12,1890,42.32386,-71.077215
1302292000,650000,183.93,3142,Conventional,5550,2,4,2,0,2,0,R2,Y,CV,H,12,1925,42.30824,-71.05027
1501449000,650000,160.02,4068,Decker,5781,3,6,3,0,3,0,R3,Y,DK,F,15,1920,42.30384,-71.06431
2009553000,649900,273.76,2374,Two_Fam_Stack,3993,2,4,2,0,2,0,R2,Y,TF,H,10,1912,42.27466,-71.16198
2004857000,649900,271.13,2055,Colonial,3621,2,6,2,1,1,0,R1,N,CL,G,11,1910,42.29116,-71.13787
2011897010,649500,294.42,2206,Colonial,3924,2,4,2,2,1,1,R1,Y,CL,G,9,2003,42.260359,-71.152087
1902316000,649000,508.62,1276,Colonial,2074,2,3,2,0,1,2,R1,Y,CL,L,7,1920,42.31118,-71.12945
106162000,649000,208.01,2961,Decker,3948,3,8,3,0,3,0,R3,Y,DK,F,11,1900,42.374958,-71.036871
903766000,645000,344,1434,Colonial,1532,2,2,1,0,1,0,R1,Y,CL,G,6,1880,42.32508,-71.08839
1605306000,645000,297.1,2171,Victorian,3374,2.5,6,1,1,1,0,R1,Y,VT,G,10,1925,42.28364,-71.06197
1603545000,645000,249.42,2586,Two_Fam_Stack,4191,2,5,2,0,2,0,R2,N,TF,H,11,1915,42.28551,-71.05397
1601318000,645000,205.54,3138,Decker,4898,3,6,3,0,3,0,R3,N,DK,F,15,1905,42.29039,-71.0636
1805013000,645000,199.32,3236,Colonial,4161,2,3,2,1,1,1,R1,Y,CL,H,8,1998,42.28063,-71.13129
1812256110,645000,188.05,0,Colonial,0,0,0,0,0,0,0,RL,N,CL,U,0,0,42.249356,-71.141846
1201911030,643000,180.72,3558,Decker,4984,3,9,3,0,3,0,R3,N,DK,F,18,2007,42.31759,-71.084297
1400853000,642500,153.49,4186,Conventional,6525,2.5,10,3,0,3,0,R3,N,CV,H,19,1905,42.30558,-71.08285
701740000,640000,505.53,1266,Row_End,1923,2,3,1,0,1,0,R1,N,RE,F,6,1915,42.33311,-71.04163
2004323000,640000,398.51,1606,Colonial,2595,2,3,2,1,1,1,R1,Y,CL,G,7,1955,42.29132,-71.14142
700997000,640000,335.08,1368,Colonial,3154,2,4,1,1,1,0,R1,Y,CL,G,7,1890,42.33408,-71.0451
1902503000,640000,315.58,2028,Colonial,2627,2,2,1,1,1,0,R1,Y,CL,G,7,1830,42.30646,-71.12436
101654000,640000,204.73,3126,Decker,4674,3,6,3,0,3,0,R3,N,DK,F,15,1900,42.38639,-71.00832
1704550000,640000,171.49,3732,Decker,5789,3,6,3,0,3,0,R3,N,DK,F,15,1905,42.28357,-71.07085
1500958000,640000,161.37,3966,Decker,5909,3,12,3,0,3,0,R3,N,DK,F,18,1905,42.3033,-71.07077
1301874000,640000,155.83,4107,Decker,6289,3,6,3,0,3,0,R3,Y,DK,F,18,1920,42.31721,-71.05955
1203088000,639000,132.71,4815,Decker,6873,3,9,3,0,3,0,R3,N,DK,H,18,1920,42.31077,-71.09174
1603439000,636000,189.29,3360,Conventional,5988,2,6,3,0,2,1,R2,Y,CV,H,13,1926,42.28409,-71.05914
1902318000,635000,346.62,1832,Colonial,3086,2,3,1,0,1,1,R1,Y,CL,L,7,1935,42.31095,-71.12913
1810845000,635000,276.09,2300,Colonial,3952,2,4,1,1,1,1,R1,Y,CL,H,8,1915,42.25014,-71.11063
1302251000,635000,261.42,2120,Colonial,3716,2,4,1,0,1,0,R1,Y,CL,H,7,1890,42.30973,-71.05124
1605069000,635000,220.41,2898,Conventional,4856,2,4,2,0,2,0,R2,Y,CV,G,10,1900,42.28042,-71.05845
1601907000,635000,184.38,3444,Decker,5436,3,8,3,0,3,0,R3,N,DK,F,15,1885,42.29275,-71.05439
802584000,635000,171.25,3708,Row_Middle,4958,3,8,3,3,3,0,R3,N,RM,F,14,1890,42.32554,-71.078
101874000,635000,168.97,4186,Conventional,6500,2,9,3,0,3,0,R3,N,CV,H,18,1910,42.38918,-71.00512
1001940000,634500,378.13,1408,Colonial,2419,2,3,1,0,1,0,R1,Y,CL,G,6,1900,42.32415,-71.10654
2004362000,634000,330.21,1920,Colonial,3222,2,4,1,0,1,1,R1,Y,CL,G,8,1925,42.29166,-71.14412
2003844000,633000,355.22,1782,Colonial,2502,2,3,2,1,1,1,R1,Y,CL,G,7,1937,42.29862,-71.14399
1601673000,633000,216.63,2922,Conventional,4511,2.5,6,3,0,3,0,R3,N,CV,G,14,1915,42.29024,-71.06134
2005340010,631000,442.81,1425,Colonial,2405,2,3,1,0,1,0,R1,Y,CL,H,7,1920,42.29128,-71.12865
1302679000,630500,249.7,1887,Two_Fam_Stack,3205,2,3,2,0,2,2,R2,Y,TF,G,9,1890,42.31316,-71.05319
1902591000,630000,422.82,1490,Colonial,2893,2,3,1,0,1,1,R1,Y,CL,G,7,1925,42.30255,-71.13044
1502786000,630000,177.97,3540,Decker,5046,3,9,3,0,3,0,R3,N,DK,F,17,2001,42.312261,-71.064335
1402533000,630000,153.51,4104,Decker,5742,3,9,3,0,3,0,R3,N,DK,F,18,1905,42.30019,-71.0835
601978000,629000,427.89,1512,Semi_Det,2415,2,3,1,1,1,0,R1,Y,SD,F,8,1890,42.33507,-71.04505
1501005000,628000,152.09,4129,Decker,6305,3,9,3,0,3,0,R3,N,DK,F,18,1905,42.30436,-71.06884
1601552000,627000,174.75,3588,Decker,5297,3,6,3,0,3,0,R3,Y,DK,F,15,1905,42.28877,-71.0655
2002094000,625000,372.02,1680,Colonial,2608,2,3,2,1,1,0,R1,Y,CL,G,8,1914,42.27846,-71.1469
2005336000,625000,369.17,1693,Colonial,2615,2,4,1,0,1,0,R1,Y,CL,L,8,1920,42.29154,-71.12903
1603695000,625000,279.02,2240,Two_Fam_Stack,3410,2,5,2,0,2,0,R2,N,TF,H,11,1925,42.28519,-71.05249
1804617000,625000,272.09,2058,Colonial,3490,2,4,1,1,1,0,R1,Y,CL,G,8,1890,42.2822,-71.1306
2008359010,625000,268.7,2326,Colonial,3940,2,4,2,0,1,2,R1,Y,CL,H,9,1900,42.28039,-71.1615
700931000,625000,258.48,2418,Conventional,3104,3,5,2,0,1,0,R1,Y,CV,M,12,1890,42.33544,-71.04784
1603914000,625000,242.25,2580,Two_Fam_Stack,4201,2,7,2,0,2,0,R2,N,TF,H,12,1900,42.28769,-71.04822
1100174000,625000,230.03,2717,Colonial,3743,2,4,2,0,1,0,R1,Y,CL,G,9,1875,42.32608,-71.09281
1301934000,625000,224.34,2786,Conventional,4634,2.5,6,2,0,2,0,R2,N,CV,G,13,1915,42.31908,-71.05848
2002145000,625000,215.96,2831,Two_Fam_Stack,4808,2,5,2,0,2,0,R2,N,TF,H,12,1910,42.28049,-71.14969
1605191000,625000,187.41,3335,Conventional,5816,2,4,2,0,2,0,R2,Y,CV,G,12,1920,42.282661,-71.0572
2001385000,625000,171.47,3645,Decker,5618,3,6,3,0,3,0,R3,N,DK,F,15,1900,42.28628,-71.14243
802586000,625000,168.55,3708,Row_End,4958,3,8,3,0,3,0,R3,N,RE,F,14,1890,42.32544,-71.07814
1301876000,625000,157,3981,Decker,6127,3,9,3,0,3,0,R3,Y,DK,F,18,1900,42.31699,-71.05962
1402515000,625000,132.87,4704,Decker,6636,3,12,3,0,3,0,R3,N,DK,F,21,1905,42.30075,-71.08445
2005599000,623000,346.5,1798,Colonial,3180,2,3,1,1,1,0,R1,Y,CL,G,6,1908,42.28726,-71.14188
2001761000,622500,245.56,2535,Colonial,4523,2,3,2,1,1,0,R1,Y,CL,G,8,1899,42.28436,-71.14806
2002099000,620500,430.9,1440,Colonial,2520,2,3,1,1,1,1,R1,Y,CL,G,6,1938,42.27888,-71.14713
200757000,620000,607.84,1020,Cape,1800,1.5,2,2,0,1,0,R1,Y,CP,G,5,1965,42.38051,-71.06689
201005000,620000,362.15,1658,Row_Middle,2232,3,3,1,0,1,0,R1,Y,RM,F,7,1880,42.38007,-71.06822
2003641002,620000,350.88,1767,Colonial,2933,2,4,1,1,1,1,R1,Y,CL,G,7,1953,42.29362,-71.14412
2004822000,620000,287.97,2153,Conventional,4005,2,4,2,0,2,1,R2,N,CV,G,10,1899,42.28917,-71.13567
1602983000,620000,182.09,3405,Decker,5338,3,9,3,0,3,0,R3,N,DK,F,15,1905,42.2883,-71.06207
1600399000,620000,170.38,3639,Decker,5444,3,8,3,0,3,0,R3,N,DK,F,17,1905,42.29456,-71.05476
1501614000,620000,157.4,3939,Decker,6227,3,11,3,0,3,0,R3,N,DK,F,18,1905,42.30594,-71.062
1700789000,620000,157.32,3941,Decker,5963,3,9,3,0,3,0,R3,N,DK,F,15,1905,42.29247,-71.06529
1602085000,619000,271.97,2276,Two_Fam_Stack,3754,2,4,2,0,2,0,R2,N,TF,H,10,1926,42.28884,-71.05495
