geoid,state,DesignatedOZ,county,Type,Population,medhhincome,PovertyRate,unemprate,medvalue,medrent,severerentburden,vacancyrate,pctwhite,pctBlack,pctHispanic,pctunder18,pctover64,HSorlower,BAorhigher,CBSAType
25003900400,Massachusetts,,Berkshire County,Low-Income Community,5224,46134.0,0.195856512,0.095611848,164000.0,792.0,0.2038690447807312,0.045734387,0.816615641,0.0474732,0.079632469,0.2630168497562408,0.1701761037111282,0.4460202753543854,0.2356005758047104,Metro
25003900500,Massachusetts,,Berkshire County,Not Eligible,3421,75929.0,0.058080808,0.0534729878721058,236900.0,877.0,0.198237885462555,0.070344828,0.919906460099386,0.020461853,0.0382928968137971,0.1613563285589009,0.267173341,0.3348382242287434,0.3852520692249812,Metro
25003900600,Massachusetts,,Berkshire County,Low-Income Community,3601,21938.0,0.3868082761764526,0.210840106,133600.0,807.0,0.3732673227787018,0.1324873119592666,0.7439600229263306,0.1699527949094772,0.0263815615326166,0.2018883675336837,0.1255206912755966,0.5854241251945496,0.1334129869937896,Metro
25003900700,Massachusetts,,Berkshire County,Non-LIC Contiguous,2781,52619.0,0.1459881067276001,0.063559324,159600.0,1022.0,0.1571428626775741,0.096036583,0.9579287767410278,0.0118662351742386,0.0201366413384675,0.163969799876213,0.2247392982244491,0.405075192451477,0.1997180432081222,Metro
25003900800,Massachusetts,,Berkshire County,Not Eligible,4777,80388.0,0.038606798,0.062178072,220200.0,1313.0,0.095588235,0.091869545,0.9579233828762822,0.007117438,0.010885493,0.1662131044588654,0.2227339334310236,0.2783278327832783,0.4702970297029702,Metro
25003900900,Massachusetts,,Berkshire County,Low-Income Community,5018,62699.0,0.1213630959391594,0.1180490851402282,203100.0,905.0,0.260450155,0.1533520668745041,0.8597050905227661,0.021522518,0.1024312451481819,0.2032682299613952,0.1420884877443313,0.3521907925605774,0.3580144345760345,Metro
25003901100,Massachusetts,,Berkshire County,Not Eligible,3516,56818.0,0.0610169491525423,0.032894737,169300.0,694.0,0.1891191709844559,0.0216718266253869,0.9112627986348124,0.014789534,0.0261660978384527,0.1348122866894198,0.2443117178612059,0.4390681003584229,0.2562724014336917,Metro
25003911100,Massachusetts,,Berkshire County,Not Eligible,3019,74519.0,0.0390857899966876,0.090136054,221900.0,994.0,0.2338308457711442,0.1661849710982658,0.9506459092414706,0.0175554819476647,0.0,0.2328585624378933,0.1480622722755879,0.298063297,0.4152102031176192,Metro
25003912100,Massachusetts,,Berkshire County,Low-Income Community,6682,55774.0,0.1112969443202018,0.069407366,186600.0,872.0,0.1858407109975814,0.1010197550058364,0.9437294006347656,0.003142772,0.0290332231670618,0.1750972718000412,0.1987428963184356,0.3090361356735229,0.3564257025718689,Metro
25003913100,Massachusetts,,Berkshire County,Not Eligible,5015,55777.0,0.07726503,0.057023644,356500.0,794.0,0.2439759036144578,0.1798347107438016,0.939581256231306,0.0113659022931206,0.0287138584247258,0.1607178464606181,0.3872382851445663,0.2639751552795031,0.5186335403726708,Metro
